101,Mizureta,dutchiee,qxwr,95764848,861,No,https://youtu.be/yqAkYPSQjQk?si=RGU2hL4r0W-YBI-6,Extreme,,,,,,,,,,,,,,,,,
102,troll level,lexycat,PotatoDaMan,76196489,-,No,https://youtu.be/K_4Vj5zpsh4?si=UOdfmmLgSR4HqNf1,Extreme,,,,,,,,,,,,,,,,,
103,Corrosion,Killa,Stasiu150,58385535,-,No,https://www.youtube.com/watch?v=xoRTODqn-nU,Extreme,,,,,,,,,,,,,,,,,
104,encroaching dark,e3ea,ThirtyOnee,100041767,"3,320",No,https://youtu.be/aAWxYsX_hRU?si=Zha_fp-seK-WVURm,Extreme,,,,,,,,,,,,,,,,,
105,Sweater Weather,VelYT,qxwr,81148582,753,No,https://youtu.be/vQagGF-OvS8,Extreme,,,,,,,,,,,,,,,,,
106,Mystic Bounds,gmdmann,qxwr,93549959,879,No,https://youtu.be/Nqa36orr4cQ?si=1zv89kKLFgHVebYn,Extreme,,,,,,,,,,,,,,,,,
107,Anya III,Anya21,qxwr,81257586,772,No,https://www.youtube.com/watch?v=VNkYNa4W4TE,Extreme,,,,,,,,,,,,,,,,,
108,Acu,neigefeu,Bustrige,61079355,2716,No,https://youtu.be/FqpMBLWx7Ho?si=_OPjr8AlpkWelXqm,Extreme,,,,,,,,,,,,,,,,,
109,Mint Candy,SoDaZ,Sfericzox,66212145,-,No,https://www.youtube.com/watch?v=kICY5iqIzLQ,Insane,,,,,,,,,,,,,,,,,
110,Clarity,Hypno,Sfericzox,112412828,-,No,https://youtu.be/N2s11DsgL64?si=ZD7TVoFIQiQp29oZ,Extreme,,,,,,,,,,,,,,,,,
111,Precipitance,Extravagon,Sfericzox,60197839,2859,No,https://youtu.be/rNK6f1VTfVs?si=GfL6uDz790Adq0iT,Extreme,,,,,,,,,,,,,,,,,
112,High Heat,BiBox,Aero,91782999,231,No,https://www.youtube.com/watch?v=MSwU4Nadnzs,Extreme,,,,,,,,,,,,,,,,,
113,Dreamfully,Ka1sa,qxwr,83444609,892,No,https://youtu.be/y8ltRcBO4nQ?si=Y29K9t1uKbDt2iiq,Insane,,,,,,,,,,,,,,,,,
114,Frenzy,Whippie37,dpoopoop,91294711,2418,No,https://youtu.be/SDKjh1Dj3CY?si=Es4Ys3uZSnF0Um06,Extreme,,,,,,,,,,,,,,,,,
115,Gunslinga Corridor,zEvilPrisma,RTwoSix,58069223,1423,No,https://youtu.be/4EAF3ZNA8iw?si=QGnZCRHwX8h7SDhq,Insane,,,,,,,,,,,,,,,,,
116,Thanatophobia,ARtu,Niknames,62809982,-,No,https://youtu.be/zI03aXY3Tvc?si=DtmB5FaceVna7FF-,Insane,,,,,,,,,,,,,,,,,
117,Plasmatic,JumpingTheory,qxwr,95565191,"1,431",No,https://www.youtube.com/watch?v=d9X0QRE6M40,Insane,,,,,,,,,,,,,,,,,
118,TANTRUM,Danzmen,qxwr,61910810,"1,126",No,https://www.youtube.com/watch?v=4iTMCQMGz-U,Extreme,,,,,,,,,,,,,,,,,
119,Es Dilar Nos,Mulpan,Sfericzox,45023719,-,No,https://www.youtube.com/watch?v=sCGVcS3ZAgs,Insane,,,,,,,,,,,,,,,,,
